,City,Street,Floor,NumOfRooms,Size(SQM),Type,Price(₪)
440, אילת,משעול כנרת 1,0,2.0,68,דירת נופש,1340000
441, רמת גן,ההגנה 5,3,5.0,158,גג/פנטהאוז,3250000
442, קרית שמונה,תל חי 85,5,1.0,21,דירה,670000
443, נתניה,משמר הירדן 20,4,4.0,92,דירה,2380000
444, רמת גן,חורגין 52,0,4.0,213,דירת גן,3720000
445, תל אביב יפו,משמר הגבול 17,3,6.0,165,דירה,8300000
446, תל אביב יפו,חזקיהו המלך 45,0,1.5,52,דירה,2380000
447, הוד השרון,האודם 36,4,5.0,240,גג/פנטהאוז,8500000
448, כפר סבא,ברנר 6,5,5.0,128,דירה,3090000
449, מודיעין מכבים רעות,דפנה 8,0,3.0,140,דירת גן,2950000
454, פתח תקווה,רוטשילד,0,3.0,70,דירה,1860000
455, רמת השרון,נווה גן,4,4.0,110,דירה,4880000
456, תל אביב יפו,טשרניחובסקי 24,4,4.0,110,דירה,8450000
457, ירושלים,בנימין מטודלה,4,4.0,100,דירה,3950000
458, פתח תקווה,בעל שם טוב,1,4.0,100,דירה,2560000
459, שוהם,מכבים 100,2,4.0,100,דירה,2620000
460, ירושלים,רבי מאיר,2,4.5,94,דירה,3100000
461, קרית אונו,יצחק רבין,5,5.0,120,דירה,3740000
462, תל אביב יפו,בירנבוים,1,4.0,78,דירה,4670000
463, אשדוד,אשדוד,3,3.0,90,דירה,1890000
464, באר שבע,אליהו הנביא,7,2.0,52,דירה,450000
465, ירושלים,ניות,2,4.0,95,דירה,3590000
466, כפר סבא,התחייה 14,3,4.0,113,דירה,2690000
467, הוד השרון,בית הבד,4,4.0,94,דירה,3190000
468, רמת השרון,גולן,0,7.0,230,דירת גן,8750000
469, רחובות,יעקב תמרי,6,4.0,106,דירה,2550000
470, תל אביב יפו,בני אפרים 280,1,2.0,58,דירה,2850000
471, רמת גן,שדרת התמרים 7,1,3.5,72,דירה,2885000
472, חיפה,דרך אלנבי 37,3,2.5,75,דירה,1050000
473, ראשון לציון,הגת 16,9,6.0,240,דופלקס,4400000
474, חולון,יעקב פיכמן 25,13,4.0,93,דירה,3300000
475, מודיעין מכבים רעות,מגדל דוד 25,0,7.0,440,דירת גן,5900000
476, חיפה,יהורם גאון 1,-1,4.0,102,דירה,2850000
477, באר שבע,רחבת צפת 6,2,3.0,76,דירה,990000
478, שדרות,שלום שבזי 2,1,4.0,90,דירה,970000
479, הרצליה,אליהו גולומב 23,2,5.0,184,גג/פנטהאוז,4500000
480, כרמיאל,מבצע בן עמי 26,1,4.5,155,גג/פנטהאוז,1650000
481, ראשון לציון,ראובן ובת שבע 5,5,5.0,100,דירה,2450000
482, אילת,צין 692,1,3.0,55,דירה,1100000
483, באר שבע,אברהם אבינו 87,2,3.0,60,דירה,750000
484, קרית אונו,יצחק רבין 8,2,6.5,173,דירה,5500000
485, בת ים,דרך בן גוריון 138,4,2.0,40,דירת נופש,2000000
486, עתלית,החרוב 215,3,3.0,60,דירה,1460000
487, באר שבע,שמעוני 9,6,4.5,110,דירה,1400000
488, תל אביב יפו,אבודרהם 6,1,4.0,110,דירה,3800000
489, דימונה,שדרות הרצל,4,3.0,78,דירה,640000
490, חיפה,"מת""מ, נאות פרס",6,5.0,115,דירה,2700000
491, ראשון לציון,הכורמים,4,4.0,95,דירה,2640000
492, קרית גת,נחל נעמן 19,0,5.0,113,דירת גן,2600000
493, עפולה,מאיר שפירא 5,2,4.0,104,דירה,985000
494, תל אביב יפו,יהודה הלוי,4,3.0,88,דירה,5600000
495, פרדס חנה כרכור,המושב,1,3.0,65,דירה,1690000
496, ירושלים,דב הוז,2,5.0,120,דופלקס,3290000
497, רעננה,נווה זמר,4,6.0,152,דירה,5080000
498, חיפה,שבטי ישראל 1,3,5.0,130,גג/פנטהאוז,1600000
499, מעלה אדומים,הנחלים,0,3.0,90,דירת גן,1650000
500, קרית ביאליק,דרך עכו חיפה,1,4.0,105,דירה,950000
501, באר יעקב,יהלום,3,5.0,120,דירה,3360000
502, רמת גן,יכין,2,3.0,85,דירה,2890000
503, תל אביב יפו,"השל""ה 1",3,5.0,115,דירה,6800000
504, בת ים,דולפין,3,2.5,65,דירה,1850000
505, רחובות,צאלון,1,3.0,72,דירה,2050000
506, תל אביב יפו,רב אשי,1,5.0,160,דירה,7450000
507, הרצליה,מרכז,2,5.0,145,דירה,4300000
508, עפולה,עפולה,0,5.0,120,דירת גן,1650000
509, ירושלים,"גבעת הורדים, רסקו",4,4.0,101,דירה,4100000
510, פתח תקווה,אליעזר בן יהודה 10,1,4.0,105,דירה,2450000
511, גבעתיים,ברדיצ'בסקי 1,8,4.0,104,דירה,4650000
512, רעננה,ביאליק 7,0,4.0,133,דירה,3200000
515, נתניה,אהוד מנור 5,18,4.5,165,דירה,9500000
516, קרית שמונה,המכבים 11,8,4.0,91,דירה,1150000
517, עפולה,מנחם אוסישקין 35,4,5.5,200,גג/פנטהאוז,2760000
518, אור עקיבא,החרמון 1,5,4.0,112,דירה,2120000
519, תל אביב יפו,"אד""ם הכהן 12",1,2.5,61,דירה,3695000
520, חיפה,חביבה רייק 78,6,4.0,134,דירה,2230000
521, חולון,יוסף אהרונוביץ' 26,3,4.0,110,דירה,2270000
522, רעננה,הרצוג 11,0,4.0,106,דירה,2700000
523, נתניה,משמר הירדן 20,4,4.0,108,דירה,2350000
524, חולון,בית לחם 5,5,5.0,110,דירה,2480000
525, חיפה,הלל 16,1,3.5,95,דירה,1400000
526, תל אביב יפו,שדרות רוקח 51,14,5.0,148,דירה,10200000
527, בת ים,הפטמן 8,5,3.5,112,דירה,2550000
528, תל אביב יפו,ארבע ארצות,5,4.0,200,גג/פנטהאוז,13200000
529, נתניה,אירוס הארגמן,2,5.5,140,דופלקס,2750000
530, תל אביב יפו,תל אביב יפו,1,3.0,82,דירה,5280000
531, גבעתיים,אריאל שרון,2,3.0,94,דירה,3500000
532, תל אביב יפו,שמואל תמיר,5,5.0,125,דירה,6850000
533, אילת,משעול המערב 8,1,4.0,140,דירה,1740000
534, קרית מוצקין,שדרות גושן 11,1,4.0,90,דירה,1220000
535, ראשון לציון,"רמז, מערב ותיק",1,3.0,78,דירה,2090000
536, חריש,החורש,2,4.0,112,דירה,1520000
537, עפולה,ספיר,8,5.0,141,דירה,1450000
538, חיפה,חיפה,1,5.5,115,דירה,1690000
539, אלעד,אלעד,3,6.0,180,גג/פנטהאוז,3700000
540, תל אביב יפו,קרית שלום,0,3.0,105,דירת גן,2650000
541, כרמיאל,ההגנה,4,4.0,129,דירה,1760000
542, קרית אתא,קרית בנימין,0,5.0,150,דירת גן,2689998
543, מעלה אדומים,הנחלים,4,4.0,80,דירה,1700000
544, קרית מוצקין,"צה""ל",4,4.0,133,דירה,1850000
545, קרית אתא,השומר,3,6.0,156,גג/פנטהאוז,2490000
546, תל אביב יפו,נווה אביבים,2,4.0,112,דירה,4800000
547, קרית מוצקין,לוי אשכול,6,5.0,123,דירה,1790000
548, חיפה,דרך יפו,3,2.0,87,גג/פנטהאוז,780000
550, אשקלון,שדרות עמק חפר 55,9,5.0,234,גג/פנטהאוז,3250000
551, פתח תקווה,יצחק ויטנברג 6,2,5.0,141,דירה,3490000
552, תל אביב יפו,יונה הנביא 38,1,3.0,77,דירה,7105000
553, תל אביב יפו,מרק שאגאל 15,2,4.0,122,דירה,5950000
554, תל אביב יפו,בירנבוים 9,1,4.0,78,דירה,4700000
555, חריש,גפן 13,5,4.0,100,דירה,1830000
556, תל אביב יפו,אלול 25,0,6.0,350,דירה,400000
557, רחובות,פרופ' אהרון צ'חנובר 11,4,4.0,124,דירה,3190000
558, פתח תקווה,מונטיפיורי 41,3,3.5,92,דירה,2050000
559, אשקלון,יעקב מרידור 1,8,5.0,140,דירה,2320000
560, נתניה,דיזנגוף 48,3,7.0,136,דירה,2750000
561, חיפה,שדרות מוריה 93,1,3.5,74,דירה,1650000
562, אשקלון,ניסן 26,3,5.0,190,גג/פנטהאוז,2500000
563, אילת,דרך הבשמים 137,5,5.0,250,גג/פנטהאוז,3650000
564, בת ים,פנקס 7,6,4.0,109,דירה,2400000
565, ראשון לציון,אלקבץ 3,3,4.0,110,דירה,3090000
566, בת ים,ירושלים 61,2,5.0,101,דירה,2350000
567, חולון,דגניה 10,1,5.0,120,דירה,3650000
568, תל אביב יפו,אופנהיימר,7,5.0,150,דירה,7900000
569, נתיבות,קטיף,3,5.0,134,דירה,1520000
570, ראשון לציון,האורגן,3,4.0,105,דירה,2880000
571, קרית גת,"צה""ל",7,4.5,110,דירה,1320000
572, הרצליה,נתן אלתרמן 50,12,5.0,144,גג/פנטהאוז,8780000
573, עפולה,ירושלים,6,3.0,130,גג/פנטהאוז,1250000
574, אשדוד,רוגוזין,11,5.5,165,דירה,2390000
575, חולון,השר משה שפירא,2,4.0,110,דירה,2590000
576, נשר,יפה נוף,1,3.0,75,דירה,1070000
577, פתח תקווה,יהושע שטמפפר,2,3.5,85,דירה,1890000
578, תל אביב יפו,נווה שאנן,2,5.0,123,דירה,6460000
579, תל אביב יפו,יד אליהו,1,3.0,110,דופלקס,4090000
580, כפר סבא,גני השרון,0,4.0,120,דירת גן,3390000
581, רמת השרון,נווה גן,0,6.0,500,דירת גן,8100000
582, הוד השרון,החקלאי,2,4.0,93,דירה,3050000
583, חיפה,בת גלים,1,3.5,80,דירה,2090000
584, חריש,טורקיז,1,5.0,110,דירה,1770000
585, תל אביב יפו,תל אביב יפו,23,3.0,81,דירה,5500000
586, תל אביב יפו,משגב עם,5,4.0,88,דירה,2900000
587, רמת גן,הירדן,6,4.0,95,דירה,2395000
588, תל אביב יפו,אוסוולדו ארניה 2,20,5.0,125,דירה,6300000
589, מודיעין מכבים רעות,צוקית 13,1,4.0,96,דירה,3300000
590, מעלה אדומים,הנחלים 112,3,3.5,86,דירה,1650000
591, לוד,גוטמן 7,4,5.0,180,גג/פנטהאוז,2350000
592, יקנעם עילית,ירדן 20,3,4.0,130,דירה,1730000
593, חדרה,שדרות מנחם בגין 12,5,4.0,151,דירה,2700000
594, תל אביב יפו,"זלמן שז""ר 71",4,3.0,69,דירה,2750000
595, בת ים,מחרוזת 32,3,3.5,85,דירה,2200000
596, חיפה,דרך פרויד 30,0,3.0,70,דירה,1035000
597, גבעתיים,המרי 18,4,4.0,97,דירה,4150000
598, ירושלים,הרב יצחק חי טייב 50,3,4.0,125,דירה,2867000
599, חצור הגלילית,מנחם בגין 47,1,4.0,90,דירה,940000
600, גני תקווה,דרך אילות 9,12,5.0,149,דירה,4150000
601, יקנעם עילית,הגיא 57,3,4.0,112,דירה,2100000
602, חיפה,בן יהודה 31,2,3.0,80,דירה,1100000
603, ירושלים,שבתאי הנגבי 71,2,4.0,87,דירה,2300000
604, תל אביב יפו,משה שרת 48,2,2.0,65,דירה,4000000
605, אלעד,רבינו עובדיה מברטנורה 4,3,4.0,125,דירה,2400000
606, נתניה,נתניה,4,4.0,120,דירה,3490000
607, אשקלון,אלי כהן,2,5.0,115,דירה,1800000
608, רחובות,רחובות המדע,0,5.5,377,דירת גן,5320000
609, נתניה,פרופס,6,5.0,130,דופלקס,3200000
610, רמת גן,הרי הגלעד,3,2.5,86,דירה,2780000
611, אשדוד,רובע ד',6,4.0,110,דירה,1950000
612, רמת גן,מרים,1,2.5,70,דירה,2200000
613, ראשון לציון,ה' באייר,3,4.0,100,דירה,3250000
614, זכרון יעקב,גבעת עדן,3,5.0,160,דירה,3050000
615, ירושלים,קרית הלאום,8,5.0,145,גג/פנטהאוז,5500000
616, תל מונד,שכונה 11,0,5.0,155,דירת גן,4550000
617, טבריה,הדקל,3,5.0,135,דירה,1250000
618, רמת השרון,הדר,2,5.0,145,גג/פנטהאוז,5550000
619, באר שבע,מקס איזידור בודנהימר,4,3.0,103,דירה,1300000
620, ירושלים,הרב כלפון משה הכהן,2,5.0,120,דירת גן,3780000
621, פרדס חנה כרכור,שיכון ממשלתי,0,5.0,127,דירת גן,3650000
622, רחובות,רחובות החדשה,6,4.0,100,דירה,2450000
623, נהריה,נשר 10,5,4.0,120,דירה,1530000
624, רעננה,שדרות בגין,0,3.5,113,דירת גן,3500000
625, אשקלון,שקמים ואגמים,1,4.5,133,דירה,1830000
626, תל אביב יפו,נאות אפקה א',3,5.0,134,דירה,5100000
627, קרית אונו,יצחק נבון 1,25,4.0,124,דירה,4270000
628, קרית גת,נחל אלכסנדר 64,1,5.5,171,דופלקס,3100000
629, באר שבע,איילה 9,1,3.5,75,דירה,850000
630, תל אביב יפו,יסוד המעלה 44,1,4.0,80,דירה,2800000
631, נתניה,יעקב וייס 8,2,6.0,171,דופלקס,2350000
632, חולון,אהוד מנור 13,5,5.0,120,דירה,3600000
633, מודיעין מכבים רעות,יער אשתאול 12,-1,4.0,135,דירה,3450000
634, ראשון לציון,הגדוד העברי 68,3,3.5,85,דירה,2150000
635, אור יהודה,שיזף 1,9,4.5,229,דירה,3290000
636, כפר סבא,אברהם קרן 15,2,4.0,121,דירה,2990000
637, בת ים,סוקולוב 4,1,2.5,52,דירה,2330000
638, תל אביב יפו,י.ל. פרץ 37,2,4.0,81,דירה,3400000
639, תל אביב יפו,מירון 12,3,3.0,55,דירה,2750000
640, חיפה,הוד 8,4,5.0,142,דירה,3700000
641, אשקלון,שדרות הציונות 82,6,4.0,120,דירה,2100000
642, נתניה,ארצי שרמן 2,23,5.0,165,דירה,4200000
643, זכרון יעקב,דרור 1,5,5.0,256,דופלקס,3850000
644, באר שבע,גמל 15,3,3.0,70,דירה,670000
646, פתח תקווה,יהודה לייב פינסקר,1,3.0,63,דירה,1775000
647, באר שבע,שכונה ד',0,4.0,65,דירה,1150000
648, אריאל,רמת הגולן 3,5,4.0,105,דירה,1900000
649, אזור,האיכרים,17,5.0,135,גג/פנטהאוז,4980000
650, תל אביב יפו,לוין קיפניס 3,4,3.0,69,דירה,3980000
651, אשקלון,יצחק חכימי,2,4.0,110,דירה,1825000
652, אשקלון,ברנע,8,5.0,200,דירה,1855000
653, תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",0,3.0,80,דירת גן,4450000
654, תל אביב יפו,יהואש 7,3,4.0,90,דירה,6500000
655, ראש העין,ה' באייר,1,4.0,93,דירת גן,2760000
656, קרית גת,הציפורן 5,6,4.0,107,דירה,1720000
657, חולון,יצחק רבין,3,5.0,123,דירה,3570000
658, באר שבע,ארלוזורוב,0,2.0,42,דירה,890000
659, תל אביב יפו,ברנשטיין כהן 11,2,3.0,72,דירה,4490000
660, קרית אתא,פרישמן 19,0,5.5,223,דירת גן,1740000
661, רמלה,אהוד מנור 9,2,4.0,100,דירה,2050000
662, נתניה,מאיר עמית,4,4.0,129,דירה,2650000
663, לוד,בעל התניא,2,5.0,130,דירה,2290000
664, תל אביב יפו,טולוז,3,4.0,288,גג/פנטהאוז,9200000
665, חדרה,חדרה,9,4.0,100,דירה,3800000
666, באר שבע,שדרות יעלים 62,4,3.0,65,דירה,680000
667, רעננה,גאולה 8,4,4.0,92,דירה,2900000
668, הוד השרון,אפרים קציר 13,5,5.0,155,דירה,4850000
669, רחובות,ההגנה 25,4,2.5,55,דירה,1480000
670, תל אביב יפו,לוינסקי 71,3,2.0,50,גג/פנטהאוז,2700000
671, תל אביב יפו,שדרות חכמי לובלין 5,2,2.5,50,דירה,3200000
672, רמת גן,המתמיד 38,1,2.0,49,דירה,2000000
673, ראש העין,אלברט איינשטיין 15,4,5.0,138,דירה,3080000
674, תל אביב יפו,קהילת פאדובה 19,1,3.0,75,דירה,4000000
675, רחובות,יעקב תמרי 7,15,6.0,137,דירה,3800000
676, לוד,שבט יהודה 1,1,5.0,132,דירה,2760000
678, נתניה,שלמה המלך 16,2,5.0,130,דירה,2590000
679, אילת,עין נטפים 7,2,4.0,115,דירה,1790000
680, ירושלים,ראובן מס 136,3,4.0,88,דירה,1890000
681, הרצליה,וייצמן 23,0,3.5,210,דירה,3500000
682, אשקלון,שדרות ירושלים 129,4,4.0,110,דירה,1900000
683, אפרת,רימון 38,0,5.5,167,דירת גן,3100000
684, ראש העין,יפה ירקוני,3,3.0,113,דירה,2520000
685, חדרה,שיקמונה,9,4.0,90,דירה,1550000
686, תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",1,4.0,142,דירה,5200000
687, עפולה,חבצלת,4,5.0,158,דירה,1680000
688, כפר סבא,סביוני הכפר,3,6.0,170,דופלקס,5250000
689, עכו,דרך הים,2,5.0,117,דירה,1749000
690, רמת גן,רוחמה,0,3.0,64,דירת גן,2850000
691, ירושלים,המלך ג'ורג',5,2.0,42,דירה,2590000
692, נהריה,נשר,5,4.0,110,דירה,1590000
693, תל אביב יפו,תל אביב יפו,3,4.0,100,דירה,5500000
694, חיפה,מסדה,0,2.0,37,דירה,730000
695, חריש,יקינטון,6,6.0,150,גג/פנטהאוז,3190000
696, הוד השרון,הוד השרון,19,6.0,165,גג/פנטהאוז,9600000
697, יבנה,הדרור 46,7,4.0,160,גג/פנטהאוז,2060000
698, קרית ביאליק,דן,0,4.0,111,דירה,1530000
699, תל אביב יפו,תל אביב יפו,10,6.0,163,דירה,7500000
700, כפר יונה,אהבת אדם,5,4.0,101,דירה,2580000
701, עפולה,שדרות רובע יזרעאל,4,4.0,115,דירה,1360000
702, מגדל העמק,נוף העמק,2,6.0,170,דופלקס,1100000
